key,types,level_one,level_two
"22.29,114.19",premise,Causeway Bay,Hong Kong Island
"22.30,114.18",premise,Hong Chong Road,Kowloon
"22.31,114.21",establishment,Kowloon,Kowloon
"22.33,114.15",establishment,Cheung Sha Wan,Kowloon
"22.33,114.16",street_address,Sham Shui Po,Kowloon
"22.34,114.15",establishment,Kowloon,Kowloon
"22.34,114.16",establishment,Lei Cheng Uk,Kowloon
"22.36,114.13",premise,Kwai Chung,New Territories
"22.40,113.96",route,New Territories,New Territories
"22.40,113.97",premise,Kin Fat Street,New Territories
"22.40,114.07",route,New Territories,New Territories
"22.41,113.96",establishment,New Territories,New Territories
"22.41,114.07",car_repair,New Territories,New Territories
"22.45,113.99",premise,Ha Tsuen,New Territories
"22.45,114.00",establishment,Tin Shui Wai,New Territories
"22.46,113.99",establishment,New Territories,New Territories
"22.46,114.00",establishment,New Territories,New Territories
"22.47,113.99",route,New Territories,New Territories
"22.47,114.00",premise,New Territories,New Territories
"22.54,120.35",route,Kaohsiung City,Kaohsiung City
"22.55,120.34",establishment,Kaohsiung City,Kaohsiung City
"22.55,120.35",route,Kaohsiung City,Kaohsiung City
"22.61,120.30",establishment,Taiwan,Kaohsiung City
"22.62,120.28",establishment,Kaohsiung City,Kaohsiung City
"22.62,120.29",establishment,Qianjin District,Kaohsiung City
"22.64,120.33",street_address,Sanmin District,Kaohsiung City
"22.64,120.34",street_address,Sanmin District,Kaohsiung City
"22.65,120.27",route,Kaohsiung City,Kaohsiung City
"22.65,120.33",street_address,Sanmin District,Kaohsiung City
"22.65,120.34",street_address,Sanmin District,Kaohsiung City
"23.00,72.56",street_address,Chandra Nagar,Gujarat
"23.01,72.55",street_address,Paldi,Gujarat
"23.01,72.56",establishment,Paldi,Gujarat
"23.01,72.57",establishment,Paldi,Gujarat
"23.02,72.55",establishment,Ahmedabad,Gujarat
"23.03,72.55",street_address,Gulbai Tekra,Gujarat
"23.03,72.56",route,Ellisbridge,Gujarat
"24.47,54.38",street_address,Al Nahyan,Abu Dhabi
"24.82,121.00",establishment,East District,Abu Dhabi
"24.82,121.01",street_address,Zhubei City,Abu Dhabi
"24.83,121.01",street_address,Zhubei City,Abu Dhabi
"24.86,120.99",street_address,Zhubei City,Abu Dhabi
"24.87,120.99",street_address,Xinfeng Township,Abu Dhabi
"24.93,67.06",street_address,Block 6,Sindh
"24.95,121.23",establishment,Taoyuan City,Taoyuan City
"24.95,121.24",street_address,Zhongli District,Taoyuan City
"24.96,121.51",street_address,Xindian District,New Taipei City
"25.04,121.51",street_address,Bo'ai Special Zone,Taipei City
"25.04,55.24",route,Dubai,Dubai
"25.04,55.25",establishment,United Arab Emirates,دبي
"25.05,121.36",street_address,Guishan District,Taoyuan City
"25.05,121.37",street_address,Guishan District,Taoyuan City
"25.05,55.25",route,Dubai,Dubai
"25.06,121.37",street_address,Guishan District,Taoyuan City
"25.07,55.12",route,Dubai,Dubai
"25.07,55.13",route,Dubai,Dubai
"25.08,55.16",establishment,United Arab Emirates,Dubai
"25.08,55.17",airport,Dubai,Dubai
"25.09,55.16",route,Dubai,Dubai
"25.09,55.17",street_address,Dubai,Dubai
"25.09,55.18",route,Dubai,Dubai
"25.10,55.17",premise,Dubai,Dubai
"25.21,55.35",route,Dubai,Dubai
"25.22,55.34",establishment,Dubai,Dubai
"25.22,55.35",establishment,Dubai,Dubai
"25.43,34.69",route,Red Sea Governorate,Red Sea Governorate
"25.63,-100.30",street_address,Empleados Sfeo,Nuevo León
"25.63,-100.31",route,Monterrey,Nuevo León
"25.64,-100.30",street_address,Cerro de La Campaña,Nuevo León
"25.64,-100.32",route,San Pedro Garza García,Nuevo León
"25.65,-100.38",street_address,Lomas del Valle,Nuevo León
"25.66,-100.32",street_address,Independencia,Nuevo León
"25.66,-100.34",street_address,Zona Loma Larga Poniente,Nuevo León
"25.67,-100.28",street_address,Buenos Aires,Nuevo León
"25.67,-100.29",street_address,Buenos Aires,Nuevo León
"25.67,-100.31",street_address,Centro,Nuevo León
"25.67,-100.35",street_address,Sertoma,Nuevo León
"25.67,-100.39",street_address,Zona Los Callejones,Nuevo León
"25.67,-100.40",street_address,Zona Los Callejones,Nuevo León
"25.68,-100.28",route,Monterrey,Nuevo León
"25.68,-100.35",establishment,Chepevera,Nuevo León
"25.68,-100.40",street_address,El Obispo,Nuevo León
"25.68,-100.44",street_address,Industrial Unidad Nacional I,Nuevo León
"25.68,-80.30",premise,Miami,Florida
"25.68,-80.31",establishment,Pinecrest,Florida
"25.69,-100.43",street_address,Privadas de San Jorge,Nuevo León
"25.69,-100.44",street_address,Mártires de Cananea,Nuevo León
"25.69,-80.30",street_address,Miami,Florida
"25.69,-80.31",street_address,Kendall,Florida
"25.70,-100.35",premise,Los Urdiales,Nuevo León
"25.70,-100.36",premise,Cumbres 1º Sector,Nuevo León
"25.70,-80.30",street_address,South Miami,Florida
"25.70,-80.31",premise,Miami,Florida
"25.70,-80.32",premise,Miami,Florida
"25.71,-100.35",street_address,Mitras Norte,Nuevo León
"25.71,-100.36",street_address,Burócratas del Estado,Nuevo León
"25.71,-100.37",street_address,Cumbres 2o. Sector Sección C,Nuevo León
"25.72,-100.36",street_address,Valle de Las Mitras,Nuevo León
"25.72,-100.37",establishment,Los Cedros,Nuevo León
"25.72,-100.38",street_address,Cumbres 3o. Sector,Nuevo León
"25.72,-80.44",street_address,Miami,Florida
"25.73,-100.37",street_address,Sin Nombre de Colonia 14,Nuevo León
"25.73,-100.38",premise,Valle de Infonavit,Nuevo León
"25.73,-80.32",route,Miami-Dade County,Florida
"25.74,-80.33",premise,Miami,Florida
"25.76,-100.29",street_address,Centro,Nuevo León
"25.76,-100.30",premise,Las Villas,Nuevo León
"25.78,-80.12",route,Miami Beach,Florida
"25.78,-80.13",route,Miami Beach,Florida
"25.78,-80.19",street_address,Downtown Miami,Florida
"25.78,-80.20",street_address,Overtown,Florida
"25.79,-80.12",street_address,City Center,Florida
"25.79,-80.13",street_address,South Beach,Florida
"25.80,-100.25",street_address,Monterrey,Nuevo León
"25.80,-100.26",route,Ciudad Apodaca,Nuevo León
"25.81,-100.26",street_address,Jardines de Monterrey II,Nuevo León
"25.95,-80.23",premise,Miami Gardens,Florida
"25.96,-97.50",street_address,Brownsville,Texas
"25.98,-80.22",premise,Miramar,Florida
"26.06,-80.36",street_address,Davie,Florida
"26.07,-80.36",premise,Davie,Florida
"26.07,-97.20",street_address,Port Isabel,Texas
"26.07,-97.21",street_address,Port Isabel,Texas
"26.07,-97.22",street_address,Port Isabel,Texas
"26.08,-80.36",route,Broward County,Florida
"26.08,-80.37",premise,Weston,Florida
"26.08,-97.16",premise,South Padre Island,Texas
"26.08,-97.20",street_address,Port Isabel,Texas
"26.09,-80.13",street_address,Fort Lauderdale,Florida
"26.09,-80.36",route,Broward County,Florida
"26.09,-80.37",street_address,Weston,Florida
"26.09,-97.16",establishment,South Padre Island,Texas
"26.10,-80.13",street_address,Harbordale,Florida
"26.10,-80.26",premise,Davie,Florida
"26.10,-80.36",premise,Sunrise,Florida
"26.10,-80.37",premise,Weston,Florida
"26.11,-80.10",street_address,Central Beach,Florida
"26.11,-80.36",premise,Sunrise,Florida
"26.12,-80.10",street_address,Central Beach Alliance,Florida
"26.12,-80.34",establishment,Davie,Florida
"26.12,-80.35",route,Broward County,Florida
"26.12,-80.36",street_address,Sunrise,Florida
"26.12,-80.37",establishment,Weston,Florida
"26.12,-97.16",street_address,South Padre Island,Texas
"26.13,-80.34",establishment,Sunrise,Florida
"26.13,-80.35",establishment,West State Road 84,Florida
"26.13,-97.16",street_address,South Padre Island,Texas
"26.13,-97.17",premise,South Padre Island,Texas
"26.17,-98.18",street_address,Pharr,Texas
"26.18,-98.20",street_address,Pharr,Texas
"26.19,-80.09",route,Broward County,Florida
"26.19,-98.20",street_address,Pharr,Texas
"26.20,-98.36",establishment,South Inspiration Road,Texas
"26.20,-98.37",street_address,Mission,Texas
"26.21,-98.36",premise,Mission,Texas
"26.21,-98.37",premise,Mission,Texas
"26.22,-98.19",premise,Pharr,Texas
"26.22,-98.37",premise,Mission,Texas
"26.23,-98.19",street_address,Pharr,Texas
"26.23,-98.20",establishment,McAllen,Texas
"26.24,-98.20",street_address,McAllen,Texas
"26.24,-98.21",street_address,McAllen,Texas
"26.24,-98.22",establishment,McAllen,Texas
"26.25,-98.21",premise,McAllen,Texas
"26.25,-98.22",premise,McAllen,Texas
"26.31,-80.18",premise,Coconut Creek,Florida
"26.31,-80.21",premise,Parkland,Florida
"26.32,-80.18",street_address,Coconut Creek,Florida
"26.32,-80.21",premise,Parkland,Florida
"26.32,-81.80",premise,Bonita Springs,Florida
"26.32,-81.81",street_address,Bonita Springs,Florida
"26.32,-81.82",premise,Naples,Florida
"26.32,-81.83",street_address,Naples,Florida
"26.32,-81.84",premise,Bonita Springs,Florida
"26.33,-80.10",premise,Boca Raton,Florida
"26.33,-80.11",premise,Boca Raton,Florida
"26.33,-81.80",street_address,Bonita Springs,Florida
"26.33,-81.81",street_address,Bonita Springs,Florida
"26.33,-81.82",premise,Bonita Springs,Florida
"26.33,-81.83",establishment,Bonita Springs,Florida
"26.33,-81.84",premise,Bonita Springs,Florida
"26.33,-98.16",street_address,Edinburg,Texas
"26.34,-80.09",premise,Boca Raton,Florida
"26.34,-80.10",premise,Boca Raton,Florida
"26.34,-80.11",premise,Boca Raton,Florida
"26.34,-80.12",premise,Boca Raton,Florida
"26.34,-80.15",premise,Boca Raton,Florida
"26.34,-81.80",premise,Bonita Springs,Florida
"26.34,-81.81",premise,Bonita Bay,Florida
"26.34,-81.85",premise,Bonita Springs,Florida
"26.35,-80.08",premise,Boca Raton,Florida
"26.35,-80.09",premise,Boca Raton,Florida
"26.35,-80.10",premise,Boca Raton,Florida
"26.35,-80.11",premise,Boca Raton,Florida
"26.35,-80.12",establishment,West Camino Real,Florida
"26.35,-80.13",premise,Boca Raton,Florida
"26.35,-80.15",street_address,Boca Raton,Florida
"26.35,-80.16",establishment,Palm Beach County,Florida
"26.35,-81.80",establishment,Bonita Springs,Florida
"26.35,-81.81",premise,Bonita Bay,Florida
"26.35,-81.85",street_address,Bonita Springs,Florida
"26.35,-81.86",street_address,Bonita Springs,Florida
"26.36,-80.07",street_address,Boca Raton,Florida
"26.36,-80.10",street_address,Boca Raton,Florida
"26.36,-80.11",premise,Boca Raton,Florida
"26.36,-80.13",premise,Boca Raton,Florida
"26.36,-81.80",street_address,Bonita Springs,Florida
"26.36,-81.85",street_address,Bonita Springs,Florida
"26.36,-81.86",street_address,Bonita Springs,Florida
"26.37,-80.09",street_address,Boca Raton,Florida
"26.37,-80.10",establishment,Florida,Florida
"26.37,-80.23",premise,Boca Raton,Florida
"26.38,-80.08",premise,Boca Raton,Florida
"26.43,-80.11",premise,Delray Beach,Florida
"26.43,-80.12",premise,Delray Beach,Florida
"26.45,-80.05",street_address,Delray Beach,Florida
"26.52,-80.05",street_address,Boynton Beach,Florida
"26.52,-80.06",premise,Boynton Beach,Florida
"26.52,-80.07",premise,Boynton Beach,Florida
"26.53,-80.04",street_address,Ocean Ridge,Florida
"26.53,-80.05",premise,Boynton Beach,Florida
"26.53,-80.06",electrician,Boynton Beach,Florida
"26.54,-80.04",street_address,Ocean Ridge,Florida
"26.54,-80.05",premise,Boynton Beach,Florida
"26.54,-80.06",premise,Boynton Beach,Florida
"26.54,-80.07",street_address,Boynton Beach,Florida
"26.54,-80.08",establishment,Boynton Beach,Florida
"26.54,-80.09",street_address,Boynton Beach,Florida
"26.55,-80.07",premise,Boynton Beach,Florida
"26.55,-80.13",premise,Boynton Beach,Florida
"26.61,-80.04",establishment,Palm Beach,Florida
"26.88,80.99",street_address,Sect C,Uttar Pradesh
"26.88,81.00",street_address,Sector 9,Uttar Pradesh
"26.89,80.98",street_address,Sector 21,Uttar Pradesh
"26.89,80.99",street_address,Indira Nagar,Uttar Pradesh
"26.89,81.00",street_address,Sector 14,Uttar Pradesh
"26.91,-101.43",street_address,Guadalupe,Coahuila de Zaragoza
"27.31,-97.67",street_address,Riviera,Texas
"27.31,-97.68",route,Riviera,Texas
"27.55,-82.49",premise,Ellenton,Florida
"27.66,-97.40",street_address,South Side,Texas
"27.67,-97.40",premise,South Side,Texas
"27.76,-97.41",street_address,Central City,Texas
"27.78,-82.64",establishment,Historic Uptown,Florida
"27.82,-82.64",street_address,St. Petersburg,Florida
"27.82,-82.65",premise,St. Petersburg,Florida
"27.91,-81.57",premise,Lake Wales,Florida
"27.91,-82.49",street_address,South Tampa,Florida
"28.02,-80.60",premise,Sandy Pines Preserve,Florida
"28.03,-80.60",establishment,Port Malabar Industrial Park,Florida
"28.03,-80.61",premise,Tropicana Estates,Florida
"28.07,-80.60",street_address,Riverview Heights,Florida
"28.07,-80.61",premise,Booker Heights,Florida
"28.07,-80.62",street_address,Melbourne,Florida
"28.07,-80.65",premise,Hollywood Estates Of Canova Park,Florida
"28.08,-80.61",establishment,Melbourne,Florida
"28.08,-80.62",premise,Melbourne,Florida
"28.08,-80.65",street_address,Melbourne,Florida
"28.09,-80.66",street_address,Melbourne Village,Florida
"28.09,-80.67",street_address,Melbourne,Florida
"28.10,-80.67",establishment,Brevard County,Florida
"28.15,-82.75",premise,Tarpon Springs,Florida
"28.23,-81.32",premise,St. Cloud,Florida
"28.25,-81.28",street_address,St. Cloud,Florida
"28.28,-81.40",street_address,Kissimmee,Florida
"28.29,-81.40",street_address,Kissimmee,Florida
"28.33,-81.57",route,Osceola County,Florida
"28.34,-81.41",premise,Kissimmee,Florida
"28.34,-81.42",premise,Kissimmee,Florida
"28.34,-81.57",street_address,Kissimmee,Florida
"28.35,-81.50",street_address,Orlando,Florida
"28.36,-81.49",route,Orange County,Florida
"28.36,-81.50",street_address,Orlando,Florida
"28.36,-81.51",route,Orange County,Florida
"28.36,-81.52",street_address,Orlando,Florida
"28.37,-81.50",street_address,Orlando,Florida
"28.37,-81.51",premise,Orlando,Florida
"28.37,-81.52",establishment,Lake Buena Vista,Florida
"28.38,-81.49",street_address,Orlando,Florida
"28.38,-81.50",premise,Orlando,Florida
"28.41,-81.57",route,Orange County,Florida
"28.41,-81.58",route,Orange County,Florida
"28.42,-81.58",route,Orange County,Florida
"28.48,-81.41",premise,Orlando,Florida
"28.48,-81.42",street_address,Orlando,Florida
"28.49,-82.59",establishment,Spring Hill,Florida
"28.50,-82.56",street_address,Spring Hill,Florida
"28.51,-81.61",street_address,Winter Garden,Florida
"28.51,-81.62",street_address,Winter Garden,Florida
"28.54,-81.34",establishment,South Crystal Lake Drive,Florida
"28.55,77.13",route,Mahipalpur Village,Delhi
"28.56,-81.35",premise,Northeast Orlando,Florida
"28.56,77.13",establishment,Mehram Nagar,Delhi
"28.57,-81.35",premise,Orlando,Florida
"28.60,-81.17",premise,Orlando,Florida
"28.60,-81.18",premise,Regency Park,Florida
"28.83,-82.49",street_address,Lecanto,Florida
"29.10,-80.98",street_address,Port Orange,Florida
"29.10,-80.99",establishment,Treetop,Florida
"29.11,-80.99",premise,Spruce Creek Village,Florida
"29.15,-80.97",premise,Halifax Estates,Florida
"29.16,-80.97",street_address,Rio Mar Beaches,Florida
"29.16,-80.98",premise,Daytona Beach,Florida
"29.17,-80.97",street_address,Daytona Beach Shores,Florida
"29.17,-81.00",street_address,Colonial Townhouse,Florida
"29.23,-98.58",route,Bexar County,Texas
"29.28,-94.78",street_address,Galveston,Texas
"29.28,-94.79",locality,Texas,Texas
"29.29,-94.78",street_address,Galveston,Texas
"29.29,-94.79",street_address,Galveston,Texas
"29.32,-98.62",street_address,Southside,Texas
"29.33,-98.62",premise,Hidden Cove - Indian Creek,Texas
"29.35,-98.43",establishment,Southside,Texas
"29.36,-98.62",premise,South San Antonio,Texas
"29.37,-98.60",route,San Antonio,Texas
"29.38,-98.60",route,San Antonio,Texas
"29.39,-98.38",street_address,Lakeside,Texas
"29.39,-98.39",street_address,East Side,Texas
"29.40,-95.65",street_address,Needville,Texas
"29.40,-98.38",street_address,San Antonio,Texas
"29.42,-98.48",street_address,Downtown,Texas
"29.42,-98.49",street_address,La Villita,Texas
"29.48,-81.23",premise,Palm Coast,Florida
"29.48,-81.24",street_address,Palm Coast,Florida
"29.49,-81.23",premise,Palm Coast,Florida
"29.49,-81.24",street_address,Palm Coast,Florida
"29.49,-98.47",street_address,Uptown,Texas
"29.49,-98.48",street_address,Uptown,Texas
"29.49,-98.53",premise,North Central,Texas
"29.50,-98.38",premise,Northeast Side,Texas
"29.50,-98.39",premise,Northeast Side,Texas
"29.50,-98.40",street_address,Northeast Side,Texas
"29.50,-98.47",street_address,Uptown,Texas
"29.50,-98.53",premise,North Central,Texas
"29.50,-98.54",premise,North Central,Texas
"29.51,-98.38",establishment,Northeast Side,Texas
"29.51,-98.39",street_address,Northeast Side,Texas
"29.51,-98.50",street_address,Shearer Hills / Ridgeview,Texas
"29.51,-98.53",premise,North Central,Texas
"29.53,-95.69",street_address,Richmond,Texas
"29.53,-98.63",premise,Northwest Side,Texas
"29.54,-95.26",premise,Pearland,Texas
"29.54,-95.65",route,Fort Bend County,Texas
"29.54,-95.66",route,Fort Bend County,Texas
"29.54,-98.57",premise,North Central,Texas
"29.54,-98.58",street_address,Northwest Side,Texas
"29.55,-95.66",premise,Greatwood Highland Park,Texas
"29.55,-95.67",premise,Greatwood Tuscany Place,Texas
"29.55,-95.68",premise,Greatwood Trails,Texas
"29.55,-98.57",establishment,North Central,Texas
"29.55,-98.58",establishment,Huebner Oaks,Texas
"29.56,-95.66",premise,Greatwood B-170,Texas
"29.56,-95.67",premise,Greatwood Arbor,Texas
"29.56,-98.59",premise,North Central,Texas
"29.57,-95.21",premise,Houston,Texas
"29.57,-95.22",premise,Houston,Texas
"29.57,-98.59",premise,Oakland Heights,Texas
"29.58,-95.21",street_address,Houston,Texas
"29.58,-95.77",street_address,Bordens Addition,Texas
"29.59,-95.19",establishment,Southbelt / Ellington,Texas
"29.62,-98.60",street_address,Far North Central,Texas
"29.63,-98.60",street_address,Far North Central,Texas
"29.63,-98.61",street_address,Far North Central,Texas
"29.67,-98.09",street_address,New Braunfels,Texas
"29.67,-98.10",street_address,New Braunfels,Texas
"29.67,-98.12",street_address,New Braunfels,Texas
"29.68,-98.11",premise,New Braunfels,Texas
"29.68,-98.12",premise,New Braunfels,Texas
"29.69,-98.09",premise,New Braunfels,Texas
"29.69,-98.11",street_address,New Braunfels,Texas
"29.70,-98.12",establishment,New Braunfels,Texas
"29.70,-98.13",premise,New Braunfels,Texas
"29.70,-98.14",street_address,New Braunfels,Texas
"29.71,-98.13",street_address,New Braunfels,Texas
"29.71,-98.15",premise,New Braunfels,Texas
"29.71,-98.16",street_address,New Braunfels,Texas
"29.72,-95.42",premise,Southwest Houston,Texas
"29.72,-95.43",street_address,Southwest Houston,Texas
"29.72,-95.54",street_address,Westside,Texas
"29.72,-95.55",street_address,Westside,Texas
"29.73,-95.42",cafe,Southwest Freeway,Texas
"29.73,-95.43",street_address,Greenway/Upper Kirby,Texas
"29.73,-95.53",premise,Mid-West,Texas
"29.73,-95.54",establishment,Houston,Texas
"29.73,-95.55",premise,Westside,Texas
"29.74,-95.36",street_address,South Side,Texas
"29.74,-95.37",street_address,South Central Houston,Texas
"29.74,-95.38",premise,South Central Houston,Texas
"29.75,-82.42",premise,Alachua,Florida
"29.75,-95.35",street_address,East Downtown,Texas
"29.75,-95.36",street_address,Central Business District,Texas
"29.76,-82.41",premise,Alachua,Florida
"29.76,-82.42",premise,Alachua,Florida
"29.77,-98.34",street_address,Bulverde,Texas
"29.77,-98.35",street_address,Bulverde,Texas
"29.77,-98.78",street_address,Boerne,Texas
"29.81,-94.38",street_address,Winnie,Texas
"29.81,-94.39",street_address,Winnie,Texas
"29.81,-98.74",street_address,Boerne,Texas
"29.82,-94.38",premise,Winnie,Texas
"29.82,-94.86",street_address,Baytown,Texas
"29.82,-94.87",route,Chambers County,Texas
"29.83,-94.38",premise,Winnie,Texas
"29.83,-95.74",street_address,Park Row,Texas
"29.84,-91.01",route,4,Louisiana
"29.84,-91.02",street_address,Napoleonville,Louisiana
"29.85,-90.10",street_address,Marrero,Louisiana
"29.86,-90.07",street_address,Harvey,Louisiana
"29.87,-90.04",premise,Gretna,Louisiana
"29.87,-90.05",premise,Harvey,Louisiana
"29.87,-90.07",establishment,Harvey,Louisiana
"29.88,-90.04",clothing_store,Gretna,Louisiana
"29.88,-90.05",street_address,Harvey,Louisiana
"29.88,-94.81",street_address,Baytown,Texas
"29.89,-95.55",premise,Jersey Village,Texas
"29.90,-90.06",street_address,Harvey,Louisiana
"29.90,-95.54",street_address,Houston,Texas
"29.90,-95.55",street_address,Westbridge,Texas
"29.91,-90.06",street_address,Gretna,Louisiana
"29.91,-90.12",postal_code,Louisiana,Louisiana
"29.91,-90.13",street_address,Bridge City,Louisiana
"29.92,-90.01",street_address,Old Aurora,Louisiana
"29.92,-90.06",street_address,Gretna,Louisiana
"29.92,-90.07",route,Gretna,Louisiana
"29.92,-90.08",street_address,11th Ward,Louisiana
"29.92,-90.09",premise,East Riverside,Louisiana
"29.92,-90.12",premise,West Riverside,Louisiana
"29.92,-90.13",street_address,Audubon,Louisiana
"29.93,-90.05",establishment,Parish Governing Authority District 1,Louisiana
"29.93,-90.06",route,New Orleans,Louisiana
"29.93,-90.07",street_address,Lower Garden District,Louisiana
"29.93,-90.08",street_address,Garden District,Louisiana
"29.93,-90.09",premise,11th Ward,Louisiana
"29.93,-90.10",premise,Milan,Louisiana
"29.93,-90.11",street_address,Uptown/Carrollton,Louisiana
"29.93,-90.12",premise,Audubon,Louisiana
"29.93,-90.13",premise,Audubon,Louisiana
"29.93,-90.16",street_address,Bridge City,Louisiana
"29.93,-90.17",street_address,Bridge City,Louisiana
"29.93,-90.19",route,Parish Governing Authority District 2,Louisiana
"29.93,-95.45",route,Harris County,Texas
"29.93,-95.55",street_address,North Houston Gardens,Texas
"29.93,-95.56",premise,Harvest Bend The Village,Texas
"29.94,-89.95",street_address,Chalmette,Louisiana
"29.94,-89.96",street_address,Chalmette,Louisiana
"29.94,-90.05",premise,Algiers,Louisiana
"29.94,-90.06",establishment,Central Business District,Louisiana
"29.94,-90.07",street_address,Lower Garden District,Louisiana
"29.94,-90.08",street_address,Central City,Louisiana
"29.94,-90.09",street_address,Central City,Louisiana
"29.94,-90.10",street_address,Milan,Louisiana
"29.94,-90.12",street_address,Audubon,Louisiana
"29.94,-90.13",establishment,New Orleans,Louisiana
"29.94,-90.20",street_address,Harahan,Louisiana
"29.94,-90.21",street_address,Harahan,Louisiana
"29.94,-95.42",route,Harris County,Texas
"29.94,-95.45",street_address,Houston,Texas
"29.95,-90.05",premise,Algiers,Louisiana
"29.95,-90.06",establishment,Orleans Parish,Louisiana
"29.95,-90.07",street_address,Central Business District,Louisiana
"29.95,-90.10",street_address,Central City,Louisiana
"29.95,-90.21",street_address,River Ridge,Louisiana
"29.96,-90.02",street_address,Holy Cross,Louisiana
"29.96,-90.05",establishment,New Orleans,Louisiana
"29.96,-90.06",establishment,French Quarter,Louisiana
"29.96,-90.07",premise,Tremé / Lafitte,Louisiana
"29.96,-90.09",street_address,Tulane - Gravier,Louisiana
"29.96,-90.10",premise,Gert Town,Louisiana
"29.96,-90.16",street_address,Jefferson,Louisiana
"29.96,-90.71",street_address,Vacherie,Louisiana
"29.96,-95.55",premise,Willowbrook,Texas
"29.97,-90.05",premise,St. Roch,Louisiana
"29.97,-90.06",street_address,South 7th Ward,Louisiana
"29.97,-90.07",premise,Tremé / Lafitte,Louisiana
"29.97,-90.11",route,Orleans Parish,Louisiana
"29.97,-90.15",establishment,Labarre Road,Louisiana
"29.97,-90.16",street_address,Jefferson,Louisiana
"29.97,-90.17",premise,Jefferson,Louisiana
"29.97,-90.22",premise,River Ridge,Louisiana
"29.97,-90.24",street_address,Kenner,Louisiana
"29.98,-89.94",administrative_area_level_3,Louisiana,Louisiana
"29.98,-90.09",street_address,City Park,Louisiana
"29.98,-90.15",premise,Metairie,Louisiana
"29.98,-90.16",street_address,Metairie,Louisiana
"29.99,-90.15",street_address,Metairie,Louisiana
"29.99,-90.16",street_address,Metairie,Louisiana
"3.02,101.60",establishment,Selangor,Selangor
"3.02,101.61",establishment,Puchong,Selangor
"3.03,101.79",street_address,Taman Kasih,Selangor
"3.04,101.78",street_address,Seri Sungai Long,Selangor
"3.04,101.79",street_address,Bandar Sungai Long,Selangor
"3.06,101.64",street_address,Taman Kinrara Seksyen 3,Selangor
"3.06,101.65",street_address,Kinrara Mas,Wilayah Persekutuan Kuala Lumpur
"3.11,101.74",street_address,Pandan Perdana,Selangor
"3.12,101.61",street_address,Taman Sea,Selangor
"3.12,101.62",street_address,SS 2,Selangor
"3.12,101.74",street_address,Pandan Perdana,Selangor
"3.13,101.61",establishment,Selangor,Selangor
"3.13,101.62",street_address,Damansara Jaya,Selangor
"3.13,101.68",establishment,Federal Territory of Kuala Lumpur,Federal Territory of Kuala Lumpur
"3.13,101.69",premise,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur
"3.14,101.61",street_address,Bandar Utama,Selangor
"3.15,101.61",street_address,Bandar Utama,Selangor
"3.15,101.71",establishment,Kuala Lumpur,Federal Territory of Kuala Lumpur
"3.17,101.69",establishment,Malaysia,Federal Territory of Kuala Lumpur
"3.18,101.68",street_address,Jalan Ipoh,Wilayah Persekutuan Kuala Lumpur
"3.18,101.69",street_address,Sentul,Wilayah Persekutuan Kuala Lumpur
"3.58,98.68",street_address,Hamdan,Sumatera Utara
"3.58,98.69",premise,Kotamatsum III,Sumatera Utara
"3.58,98.70",street_address,Jalan Ismailiyah,Sumatera Utara
"3.81,103.37",route,Pahang,Pahang
"30.00,-90.15",premise,Metairie,Louisiana
"30.00,-90.16",establishment,Metairie,Louisiana
"30.00,-90.17",street_address,Metairie,Louisiana
"30.00,-90.18",premise,Metairie,Louisiana
"30.01,-90.12",street_address,West End,Louisiana
"30.01,-90.23",street_address,Kenner,Louisiana
"30.01,-90.24",establishment,Kenner,Louisiana
"30.02,-89.92",route,New Orleans,Louisiana
"30.02,-90.09",street_address,Lake Shore - Lake Vista,Louisiana
"30.02,-90.10",premise,Lake Shore - Lake Vista,Louisiana
"30.02,-90.11",premise,Lake Shore - Lake Vista,Louisiana
"30.02,-90.12",street_address,West End,Louisiana
"30.02,-90.23",street_address,Kenner,Louisiana
"30.02,-90.24",bar,Kenner,Louisiana
"30.02,-95.42",street_address,Houston,Texas
"30.02,-95.43",premise,Houston,Texas
"30.03,-89.90",street_address,New Orleans East Area,Louisiana
"30.03,-90.23",street_address,Kenner,Louisiana
"30.03,-90.24",establishment,Kenner,Louisiana
"30.03,-95.42",street_address,North Park Forest,Texas
"30.03,-95.43",street_address,Houston,Texas
"30.04,-89.89",route,New Orleans,Louisiana
"30.04,-90.23",route,4,Louisiana
"30.04,-90.24",establishment,Kenner,Louisiana
"30.04,-94.74",street_address,Liberty,Texas
"30.05,-94.74",street_address,Ames,Texas
"30.05,-94.78",street_address,Liberty,Texas
"30.05,-94.79",route,Liberty County,Texas
"30.05,-94.80",route,Liberty County,Texas
"30.05,-94.81",street_address,Liberty,Texas
"30.06,-94.10",street_address,Beaumont,Texas
"30.06,-94.12",street_address,Beaumont,Texas
"30.06,-94.13",premise,Beaumont,Texas
"30.06,-94.78",street_address,Liberty,Texas
"30.06,-94.79",premise,Liberty,Texas
"30.06,-94.80",premise,Liberty,Texas
"30.07,-94.09",street_address,Beaumont,Texas
"30.07,-94.10",premise,Beaumont,Texas
"30.07,-94.11",establishment,Beaumont,Texas
"30.07,-94.12",establishment,Beaumont,Texas
"30.07,-94.77",establishment,Liberty,Texas
"30.07,-94.78",establishment,Liberty,Texas
"30.07,-94.79",street_address,Liberty,Texas
